"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF" 
"유료 사용한달 해보고 연장여부 결정하려했으나 설강화따위에 투자하는 모습보니 유료결재한게 아깝지만 앱삭제한다. 굿바이 디즈니플러스 멀리 안나간다.","유료/NNG|사용/NNG|하/XSV|ㄴ/ETD|달/NNG|해보/VV|고/ECE|연장/NNG|여부/NNG|결정/NNG|하/XSV|려/ECD|하/VV|었/EPT|으나/ECE|설/NNG|강화/NNG|따위/NNB|에/JKM|투자/NNG|하/XSV|는/ETD|모습/NNG|보/VV|니/ECD|유료/NNG|결재/NNG|하/XSV|ㄴ/ETD|것/NNB|이/JKS|아깝/VA|지만/ECE|앱/NNG|삭제/NNG|하/XSV|ㄴ다/EFN|./SF|굿바이/NNG|디즈니플러스/NNG|멀리/MAG|안/MAG|나가/VV|ㄴ다/EFN|./SF"
"어플 실행자체가 안됩니다.","앱/NNG|실행/NNG|자체/NNG|가/JKS|안/MAG|되/VV|ㅂ니다/EFN|./SF"
"설강화땜에 구독취소합니다.","설/NNG|강화/NNG|땜/NNB|에/JKM|구독/NNG|취소/NNG|하/XSV|ㅂ니다/EFN|./SF"
"쓰고 싶지도 않은데 자꾸 부가서비스에 가입했으니 등록하라고 강요하네요. 114로 문자 좀 그만 넣어 제발 그리고 난 이런 거 가입한 적 없다고 계약할 때 왜 설명 안 해주냐.","쓰/VV|고/ECE|싶/VXA|지/ECD|도/JX|않/VXA|은데/ECD|자꾸/MAG|부가/NNG|서비스/NNG|에/JKM|가입/NNG|하/XSV|었/EPT|으니/ECD|등록/NNG|하라/NNP|이/VCP|고/ECE|강요/NNG|하/XSV|네요/EFN|./SF|114/NR|로/JKM|문자/NNG|좀/MAG|그만/MAG|넣/VV|어/ECD|제발/MAG|그리/VV|고/ECE|나/NP|는/JX|이렇/VA|ㄴ/ETD|거/NNB|가입/NNG|하/XSV|ㄴ/ETD|적/NNB|없다/VA|고/ECE|계약/NNG|하/XSV|ㄹ/ETD|때/NNG|왜/MAG|설명/NNG|안/MAG|하/VV|어/ECS|주/VXV|냐/EFQ|./SF"
"자막 번역수준이 타사대비 떨어집니다. 그리고 빠른배속으로 볼 수 없는게 불편해요.","자막/NNG|번역/NNG|수준/NNG|이/JKS|타사/NNG|대비/NNG|떨어지/VV|ㅂ니다/EFN|./SF|그리고/MAG|빠르/VA|ㄴ/ETD|배/NNG|속/NNG|으로/JKM|보/VV|ㄹ/ETD|수/NNB|없/VA|는/ETD|것/NNB|이/JKS|불편/NNG|하/XSV|어요/EFN|./SF"
"설강화 내리기 전까지 이용 안함.","설/NNG|강화/NNG|내리기/NNG|전/NNG|까지/JX|이용/NNG|안/MAG|하/XSV|ㅁ/ETN|./SF"
"화질선택좀 가능하게 해주세요 보면서 계속 화질이 바뀌는데 진짜 몰입도 확깨져요.","화질/NNG|선택/NNG|좀/MAG|가능/NNG|하/XSV|게/ECD|하/VV|어/ECS|주세/NNG|요/JX|보/VV|면서/ECE|계속/NNG|화질/NNG|이/JKS|바꾸/VV|는데/ECD|진짜/MAG|몰입/NNG|도/JX|확/MAG|깨지/VV|어요/EFN|./SF"
"다른 앱에 비해 장점이라곤 콘텐츠밖에 없었는데 그 콘텐츠마저 설강화 같은 걸 집어넣으면 디즈니플러스에 더 이상 무슨 장점이 있나요?","다른/MDT|앱/NNG|에/JKM|비하/VV|어/ECS|장점/NNG|이/VCP|라/ECD|골/VV|ㄴ/ETD|콘텐츠/NNG|밖/NNG|에/JKM|없었/VV|는데/ECD|그/MDT|콘텐츠/NNG|마저/JX|설/NNG|강화/NNG|같/VA|은/ETD|것/NNB|을/JKO|집어넣/VV|으면/ECD|디즈니플러스/NNG|에/JKM|더/MAG|이상/NNG|무슨/MDT|장점/NNG|이/JKS|있/VV|나요/EFQ|?/SF"
"해보지않았는데 마음이 와닿아요 왜냐면 후기들이 너무 리얼해요.","해보/VV|지/ECD|안/MAG|았/EPT|는데/ECD|마음/NNG|이/JKS|와닿/VV|아요/EFN|왜냐면/MAG|후기/NNG|들/XSN|이/JKS|너무/MAG|리얼/NNG|하/XSV|어요/EFN|./SF"
"접속이 안돼요 해결 바랍니다.","접속/NNG|이/JKS|안/MAG|되/VV|어요/EFN|하/VV|어/ECS|결/NNG|바라/VV|ㅂ니다/EFN|./SF"
"번역 구린 건 참아줄 수 있지만 설강화는 못 참겠네요 손절합니다.","번역/NNG|구리/VA|ㄴ/ETD|건/NNM|참으/VV|아/ECS|주/VXV|ㄹ/ETD|수/NNB|있/VV|지만/ECE|설/NNG|강화/NNG|는/JX|못/MAG|참/VV|겠/EPT|네요/EFN|손절하/VV|ㅂ니다/EFN|./SF"
"앱도 불편하고 콘텐츠 업데이트 속도도 매우 느리지만 좋아지겠지 하고 계속 이용 중이었는데 설강화 독점 서비스는 못참겠네요 구독 해지했습니다.","앱/NNG|도/JX|불편/NNG|하고/JC|콘텐츠/NNG|업데이트/NNG|속도/NNG|도/JX|매우/MAG|느리/VA|지만/ECE|좋아지/VV|겠/EPT|지/ECD|하/VV|고/ECE|계속/MAG|이용/NNG|중/NNB|이/VCP|었/EPT|는데/ECD|설/NNG|강화/NNG|독점/NNG|서비스/NNG|는/JX|못/MAG|참/VV|겠/EPT|네요/EFN|구/NR|독/NNG|해지/NNG|하/XSV|었/EPT|습니다/EFN|./SF"
"종강 기념으로 디즈니플러스 시작하려다가 설강화 스트리밍하는 거 보고 빡쳐서 결제 안 합니다.","종강/NNG|기념/NNG|으로/JKM|디즈니플러스/NNG|시작/NNG|하/XSV|려/ECD|다가/NNP|설/NNG|강화/NNG|스트리밍/NNG|하/XSV|는/ETD|거/NNB|보/VV|고/ECE|빡쳐/UN|서/JKM|결제/NNG|안/MAG|하/VV|ㅂ니다/EFN|./SF"
"설강화 이딴거 왜 만듬 디즈니 불매임.","설/NNG|강화/NNG|이/NNG|땋/VV|ㄴ/ETD|거/NNB|왜/MAG|만듬/NNG|디즈니/NNG|불매/NNG|이/VCP|ㅁ/ETN|./SF"
"한국 민주화 운동을 왜곡한 설강화를 플레이리스트에서 삭제하지 않으면 구독취소합니다.","한국/NNG|민주화/NNG|운동/NNG|을/JKO|왜곡/NNG|하/XSV|ㄴ/ETD|설/NNG|강화/NNG|를/JKO|플레이/NNG|리스트/NNG|에서/JKM|삭제/NNG|하/XSV|지/ECD|안/MAG|으면/ECD|구독/NNG|취소/NNG|하/XSV|ㅂ니다/EFN|./SF"
"잘 보고 있는데 설강화가 왜 나와옵니까? 미쳤습니까? 지우시길 바랍니다.","잘/MAG|보/VV|고/ECE|있/VXV|는데/ECD|설/NNG|강화/NNG|가/JKS|왜/MAG|나오/VV|아/ECS|오/VV|ㅂ니까/EFQ|?/SF|미치/VV|었/EPT|습니까/EFQ|?/SF|지우/VV|시/EPH|기/ETN|를/JKO|바라/VV|ㅂ니다/EFN|./SF"
"볼 것도 없는데 설강화까지 들여오네 눈치없게 한글 자막도 안 달아주고 국내콘텐츠도 없고 콘텐츠 고르는 것도 구리고.기대 많이 했는데 실망임 디즈니 좋아했는데.","보/VV|ㄹ/ETD|것/NNB|도/JX|없/VA|는데/ECD|설/NNG|강화/NNG|까지/JX|들여오/VV|네/EFN|눈/NNG|하/XSV|지/ECD|없/VA|게/ECD|한글/NNG|자막/NNG|도/JX|안/MAG|닫/VV|아/ECD|주/VXV|고/ECE|국내/NNG|콘텐츠/NNG|도/JX|없/VA|고/ECE|콘텐츠/NNG|고르/VV|는/ETD|것/NNB|도/JX|구리/NNG|이/VCP|고/ECE|./SF|기대/NNG|많이/MAG|하/VV|었/EPT|는데/ECD|실망/NNG|임/NNG|디즈니/NNG|좋/VV|었/EPT|는데/ECD|./SF"
"TV용 동영상 플레이어가 너무 불편함. 넷플과 비교됨.","TV/OL|용/NNG|동영상/NNG|플레이어/NNG|가/JKS|너무/MAG|불편/NNG|하/XSV|ㅁ/ETN|./SF|넷플릭스/NNG|과/JKM|비교/NNG|되/XSV|ㅁ/ETN|./SF"
"번역 구린 거 둘째치고 기본적인 맞춤법마저 안 맞아요. PIP 지원 안 되는 점 배속설정 안 되는 점 어플 내 밝기 사운드 조절 안 되는 점 시청한 컨텐츠 서랍이 따로 없는 점.당장 크게 불편한 점만 꼽아도 이 정도네요.","번역/NNG|구리/VA|ㄴ/ETD|거/NNB|둘째치/VV|고/ECE|기본/NNG|적인/NNG|맞춤법/NNG|마저/JX|안/MAG|맞/VV|아요/EFN|./SF|PIP/NNG|지원/NNG|안/MAG|되/VV|는/ETD|점/NNG|배속/NNG|설정/NNG|안/MAG|되/VV|는/ETD|점/NNG|앱/NNG|내/NNB|밝기/NNG|사운드/NNG|조절/NNG|안/MAG|되/VV|는/ETD|점/NNG|시청/NNG|하/XSV|ㄴ/ETD|컨텐츠/NNG|서랍/NNG|이/JKS|따로/MAG|없/VA|는/ETD|점/NNG|./SF|당장/NNG|크/VA|게/ECD|불편/NNG|하/XSV|ㄴ/ETD|점/NNG|만/JX|꼽/VV|아도/ECD|이/MDT|정도/NNG|이/VCP|네요/EFN|./SF"
"으 설강화.","으/UN|설/NNG|강화/NNG|./SF"
"설강화 방영 개싫음.","설/NNG|강화/NNG|방영/NNG|개/NNG|싫/VA|음/ETN|./SF"
"역사왜곡에 앞장서는 앱 불매합니다.","역사/NNG|왜곡/NNG|에/JKM|앞장서/VV|는/ETD|앱/NNG|불매/NNG|하/XSV|ㅂ니다/EFN|./SF"
"역사왜곡 드라마 제작. 그렇게 PC를 강조하면서 흑인배우들을 섭외하는데 다른나라 민주화역사는 왜 왜곡하는거냐.","역사/NNG|왜곡/NNG|드라마/NNG|제작/NNG|./SF|그렇/VV|게/ECD|PC/OL|를/JKO|강조/NNG|하/XSV|면서/ECE|흑인/NNG|배우/NNG|들/XSN|을/JKO|섭외/NNG|하/XSV|는데/ECD|다른/MDT|나라/NNG|민주화/NNG|역사/NNG|는/JX|왜/MAG|왜곡/NNG|하/XSV|는/ETD|거/NNB|이/VCP|냐/EFQ|./SF"
"남의 나라 역사는 왜곡되도 상관없다는 디즈니의 평등에 깊은 감명을 받네요 남의 나라 역사 왜곡에 앞장서서 홍보하고 투자를 하는 기업 수준 잘 알았습니다 타국의 역사를 무시하는 나라의 역사는 존중받을 수 없을거라는 사실 맘 속에 새기셨으면 합니다 제 말에 반박하고 싶으시면 디플에서 설강화를 내리고 사과문 올리시면 됩니다.","남/NNG|의/JKG|나라/NNG|역사/NNG|는/JX|왜곡/NNG|되돌/VV|상관없다는/UN|디즈니/NNG|의/JKG|평등/NNG|에/JKM|깊/VA|은/ETD|감명/NNG|을/JKO|받/VV|네요/EFN|남/NNG|의/JKG|나라/NNG|역사/NNG|왜곡/NNG|에/JKM|앞장/NNG|서서/NNG|홍보/NNG|하/XSV|고/ECE|투자/NNG|를/JKO|하/VV|는/ETD|기업/NNG|수준/NNG|잘/MAG|알/VV|았/EPT|습니다/EFN|타/NNM|국/NNG|의/JKG|역사/NNG|를/JKO|무시/NNG|하/XSV|는/ETD|나라/NNG|의/JKG|역사/NNG|는/JX|존중/NNG|받/VV|을/ETD|수/NNB|없/VA|을/ETD|거/NNB|이/VCP|라는/ETD|사실/NNG|맘/NNG|속/NNG|에/JKM|새기/VV|시/EPH|었/EPT|으면/ECD|하/VV|ㅂ니다/EFN|저/NP|의/JKG|말/NNG|에/JKM|반박/NNG|하/XSV|고/ECE|싶/VXA|으시/EPH|면/ECE|디즈니플러스/NNG|에서/JKM|설/NNG|강화/NNG|를/JKO|내리/VV|고/ECE|사과/NNG|문/NNG|오르/VV|시/EPH|면/ECE|되/VV|ㅂ니다/EFN|./SF"
"재미있는 것들이 너무 많아요.","재미/NNG|있/VV|는/ETD|것/NNM|들이/VV|너무/UN|많/VA|아요/EFN|./SF"
"굉장히 재밌는 영상이 많습니다.","굉장히/MAG|재미/NNG|있/VV|는/ETD|영상/NNG|이/JKS|많/VA|습니다/EFN|./SF"
"자막도 별로고 앱 자체 설정도 구림 특히 번역 대체 누가 하는 거임? 게다가 설강화. 지네 나라 역사 아니라고 타국 역사왜곡 앞장 서고 있는 꼴 정말 별로임 오리지널 드라마나 영화 퀄리티도 별로야 있는 컨텐츠도 없어 디즈니 이름만 갖고 장사하는 거같음 솔직히 마블 컨텐츠 아니면 아무도 구독 안 할 것 같음 별점 1점도 아깝지만 리뷰 남기려면 줘야하기에 줍니다 내 돈이 정말 아깝네요.","자막/NNG|도/JX|별로/MAG|고/NNG|앱/NNG|자체/NNG|설정/NNG|도/JX|구림/NNG|특히/MAG|번역/NNG|대체/NNG|누/NNG|가/JKS|하/VV|는/ETD|거/NNB|임/NNG|?/SF|게다/NNG|가/JKS|설/NNG|강화/NNG|./SF|지네/NNG|나라/NNG|역사/NNG|아니/VCN|라고/ECD|타국/NNG|역사/NNG|왜곡/NNG|앞장/NNG|서/VV|고/ECE|있/VXV|는/ETD|꼴/NNG|정말/MAG|별로/MAG|임/NNG|오리지널/NNG|드라마/NNG|나/JC|영화/NNG|퀄리티/NNG|도/JX|별/NNG|로/JKM|야/JX|있/VV|는/ETD|컨텐츠/NNG|도/JX|없/VA|어/ECD|디즈니/NNG|이름/NNG|만/JX|갖/VV|고/ECE|장사/NNG|하/XSV|는/ETD|거/NNB|같/VA|음/ETN|솔직히/MAG|마블/NNG|컨텐츠/NNG|아니/VV|면/ECE|아무/NP|도/JX|구독/NNG|안/MAG|하/VV|ㄹ/ETD|것/NNB|같/VA|음/ETN|별점/NNG|1/NR|점/NNM|도/JX|아깝/VA|지/ECS|만/JX|리뷰/NNG|남기/VV|려면/ECE|주/VXV|어야/ECD|하/VV|기에/ECD|주/VXV|ㅂ니다/EFN|내/NP|돈/NNG|이/JKS|정말/MAG|아깝/VA|네요/EFN|./SF"
"다 좋은데 시청중인 콘텐츠에서 삭제 프로그램 넣어주시면 좋을거 같아요.","다/MAG|좋/VA|은데/ECD|시청/NNG|중인/NNG|콘텐츠/NNG|에서/JKM|삭제/NNG|프로그램/NNG|넣/VV|어/ECD|주/VXV|시/EPH|면/ECE|좋/VA|을/ETD|거/NNB|같/VA|아요/EFN|./SF"
"번역을 볼때마다 눈을 의심할 수준입니다.","번역/NNG|을/JKO|보/VV|ㄹ/ETD|때/NNG|마다/JX|눈/NNG|을/JKO|의심/NNG|하/XSV|ㄹ/ETD|수준/NNG|이/VCP|ㅂ니다/EFN|./SF"
"마블 보는 재미로 보는데. 폰에서 TV로 연결해서 보려고하는데 자꾸 안돼네요. 개선 좀 해주세요.","마블/NNG|보/VV|는/ETD|재미/NNG|로/JKM|보/VV|는데/ECD|./SF|스마트폰/NNG|에서/JKM|TV/OL|로/JKM|연결/NNG|하/XSV|어서/ECD|보/VV|려고/ECD|하/VV|는데/ECD|자꾸/MAG|안/MAG|되/VV|네요/EFN|./SF|개선/NNG|좀/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF"
"화면이 너무 어두운데 사용자가 설정할 수도 없어서 넘 불편해요.","화면/NNG|이/JKS|너무/MAG|어둡/VA|ㄴ데/ECE|사용자/NNG|가/JKS|설정/NNG|하/XSV|ㄹ/ETD|수/NNB|도/JX|없/VA|어서/ECD|넘/MAG|불편/NNG|하/XSV|어요/EFN|./SF"
"컨텐츠 엉망임.","컨텐츠/NNG|엉망/NNG|이/VCP|ㅁ/ETN|./SF"
"좋아요 최고.","좋/VA|아요/EFN|최고/NNG|./SF"
"싫어요 좋아요 작품별로 선택할 수 있는 기능 있으면 좋겠어요. 싫어요 한 작품이 목록에 안뜨면 더 좋고요. 설강화 같은거 보기도 싫네요.","싫/VA|어요/EFN|좋/VA|아요/EFN|작품/NNG|별로/MAG|선택/NNG|하/XSV|ㄹ/ETD|수/NNB|있/VV|는/ETD|기능/NNG|있/VV|으면/ECD|좋/VA|겠/EPT|어요/EFN|./SF|싫/VV|어요/EFN|한/MDN|작품/NNG|이/JKS|목록/NNG|에/JKM|안/MAG|뜨/VV|면/ECE|더/MAG|좋/VA|고요/EFN|./SF|설/NNG|강화/NNG|같/VA|은/ETD|거/NNB|보/VV|기/ETN|도/JX|싫/VA|네요/EFN|./SF"
"역사왜곡드라마 내리세요.","역사/NNG|왜곡/NNG|드라마/NNG|내리/VV|세요/EFN|./SF"
"자막이 안떠요 까만 블록만 나오고.","자막/NNG|이/JKS|안/MAG|뜨/VV|어요/EFN|검/VA|ㄴ/ETD|블록/NNG|만/JX|나오/VV|고/ECE|./SF"
"처음이라 여러가지로 이상한 부분이 있을 수 있다고 생각했는데 논란맀는 작품도 받을 줄이야 아쉽네요 들어오기전부터 기대많이 했는데.","처음/NNG|이/VCP|라/ECD|여러/MDT|가지/NNB|로/JKM|이상한/NNG|부분/NNG|이/JKS|있/VV|을/ETD|수/NNB|있/VV|다고/EFN|생각/NNG|하/XSV|었/EPT|는데/ECD|논란/NNG|맀/UN|늘/VV|ㄴ/ETD|작품/NNG|도/JX|받으/VV|ㄹ/ETD|줄/NNB|이야/JX|아쉽/VA|네요/EFN|듣/VV|어/ECD|오/VV|기/ETN|전/NNG|부터/JX|기대/NNG|많이/MAG|하/VV|었/EPT|는데/ECD|./SF"
"모바일애서 자막 설정은 왜 안되는거죠? 개선이 필요해 보입니다.","스마트폰/NNG|애서/NNG|자막/NNG|설정/NNG|은/JX|왜/MAG|안/MAG|되/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF|개선/NNG|이/JKS|필요/NNG|하/XSV|어/ECS|보/VV|ㅂ니다/EFN|./SF"
"배속기능도 없어서 따로 익스텐션 프로그램을 설치해서 노트북으로 봤습니다.","배속/NNG|기능/NNG|도/JX|없/VA|어서/ECD|따로/MAG|익스/UN|텐션/NNG|프로그램/NNG|을/JKO|설치/NNG|하/XSV|어서/ECD|컴퓨터/NNG|으로/JKM|보/VV|았/EPT|습니다/EFN|./SF"
"한국 더빙이 거의 없어 아쉽네요.","한국/NNG|더빙/NNG|이/JKS|거의/MAG|없/VA|어/ECD|아쉽/VA|네요/EFN|./SF"
"앱 사용이 불가능한 오류가 많음 1. 프로필 PIN번호를 맞게 넣었는데도 계속 틀리다고 나옴. 10번쯤 재시도하면 83오류도 섞여 나오다 간신히 됨. 2. 다운로드 컨텐츠는 검은화면만 나오고 재생이 안됨. 용량은 잔뜩 먹으면서 뭐하러 만든 기능인지 모르겠음. 3. 로딩 화면만 나오면서 멈추는 경우가 잦음. 인터넷문제는 아닌것이 옆에 있는 IOS앱은 문제 없이 잘 돌아감. 애플이 디즈니 주주라 그런지 안드로이드용만 일부러 망가뜨려놓은것 같은 퀄리티. 버전업하면서 잠시 괜찮아지나 싶었는데 다시 버전업 하더니 오류반복.","앱/NNG|사용/NNG|이/JKS|불가능/NNG|하/XSV|ㄴ/ETD|오류/NNG|가/JKS|많/VA|음/ETN|1/NR|./SF|프로필/NNG|PIN/OL|번호/NNG|를/JKO|맞/VV|게/ECD|넣/VV|었/EPT|는데/ECD|도/JX|계속/MAG|틀리/VV|다고/EFN|나오/VV|ㅁ/ETN|./SF|10/NR|번/NNM|쯤/NNG|재/XPN|시도/NNG|하/VV|83/NR|오류/NNG|도/JX|섞이/VV|어/ECS|나오/VV|다/ECS|간신히/MAG|되/VV|ㅁ/ETN|./SF|2/NR|./SF|다운로드/NNG|컨텐츠/NNG|는/JX|검/VA|은/ETD|화면/NNG|만/JX|나오/VV|고/ECE|재생/NNG|이/JKS|안/MAG|되/VV|./SF|용량/NNG|은/JX|잔뜩/MAG|먹/VV|으면서/ECE|뭐하/VV|러/ECD|만들/VV|ㄴ/ETD|기능/NNG|이/VCP|ㄴ지/ECD|모르/VV|겠/EPT|음/ETN|./SF|3/NR|./SF|로딩/NNG|화면/NNG|만/JX|나오/VV|면서/ECE|멈추/VV|는/ETD|경우/NNG|가/JKS|잦/VA|음/ETN|./SF|인터넷/NNG|문제/NNG|는/JX|아니/VCN|ㄴ/ETD|것/NNB|이/JKS|옆/NNG|에/JKM|있/VV|는/ETD|IOS/OL|앱/NNG|은/JX|문제/NNG|없이/MAG|잘/MAG|돌아가/VV|ㅁ/ETN|./SF|애플/NNG|이/JKS|디즈니/NNG|주주/NNG|이/VCP|라/EFN|그렇/VA|ㄴ지/ECD|안드로이드/NNG|용/NNG|만/JX|일부러/MAG|망가뜨리/VV|어/ECS|놓/VXV|은/ETD|것/NNB|같/VA|은/ETD|퀄리티/NNG|./SF|버전/NNG|업/NNG|하/XSV|면서/ECE|잠시/MAG|괜찮/VA|아/ECD|지/VXV|나/ECE|싶/VXA|었/EPT|는데/ECD|다시/NNG|버전/NNG|업/NNG|하/VV|더니/ECD|오류/NNG|반복/NNG|./SF"
"어떻게 UI가 쿠팡와우 멤버십에 딸려오는 쿠팡플레이만도 못합니까. 백그라운드재생이나 화면에서 밝기 사운드 조절 배속재생정도는 있어야할거아니에요. 컨텐츠 한계는 그럴 수 있다 치더라도 UI는 좀 부탁합니다.","어떻/VA|게/ECD|UI/OL|가/JKS|쿠팡/NNP|와우/NNG|멤버십/NNG|에/JKM|딸리/VV|어/ECS|오/VX|는/ETD|쿠팡/NNP|플레이/NNG|만/NNB|도/JX|못하/VX|ㅂ니까/EFQ|./SF|백/NNG|그라운드/NNG|재생/NNG|이나/JC|화면/NNG|에서/JKM|밝기/NNG|사운드/NNG|조절/NNG|배속재생/NNG|정도/NNG|는/JX|있/VV|어야/ECD|하/VV|ㄹ/ETD|거/NNB|아니/VCN|에요/EFN|./SF|컨텐츠/NNG|한계/NNG|는/JX|그러/VV|ㄹ/ETD|수/NNB|있/VV|다/ECS|치/VV|더라도/ECD|UI/OL|는/JX|좀/MAG|부탁/NNG|하/XSV|ㅂ니다/EFN|./SF"
"다큐 볼거없음. 시리즈 볼거 없음. 설강화 있음. 괜히 결제해서 요즘 유튜브 본다.","다큐/NNP|보/VV|ㄹ/ETD|거/NNB|없/VA|음/ETN|./SF|시리즈/NNG|보/VV|ㄹ/ETD|거/NNB|없/VA|음/ETN|./SF|설/NNG|강화/NNG|있음/NNG|./SF|괜히/MAG|결제/NNG|하/XSV|어서/ECD|요즘/NNG|유튜브/NNG|보/VV|ㄴ다/EFN|./SF"
"콘텐츠 다양한건 맞는데 솔직히 아직 UI가 불편함. 특히 설강화 오늘 방영되는건데 유튜브에만 예고편 풀고 정작 앱에는 예고편이 없어서 이게 동시 공개인건지 방영 후 풀리는건지 여전히 정보가 명확하지가 않음. 다른 OTT서비스는 적어도 공개 예정 콘텐츠면 예고편이라도 올리는데 이건 뭐 당일에도 그 콘텐츠에 대한 정보가 앱에 아예 없음. 그리고 다른 OTT서비스에 해 아직 검색 엔진이 부족한듯. 예를 들어 강아지 를 검색한다 치면 그 단어가 제목에 들어가있지않으면 강아지와 관련된 콘텐츠가 안뜸. 볼륨 조절이나 화면 밝기도 화면에서 이루어지지않는걸로 봐선 아직 이런 편의성은 더 발전해야할듯. 그래도 디즈니 플러스 덕분에 매일이 즐거워서 5점 줌.","콘텐츠/NNG|다양/NNG|하/XSV|ㄴ/ETD|것/NNB|은/JKS|맞/VV|는데/ECD|솔직히/MAG|아직/MAG|UI/OL|가/JKS|불편/NNG|하/XSV|ㅁ/ETN|./SF|특히/MAG|설/NNG|강화/NNG|오늘/NNG|방영/NNG|되/XSV|는/ETD|것/NNB|이/VCP|ㄴ데/ECD|유튜브/NNG|에/JKM|만/JX|예고/NNG|편/NNG|풀/VV|고/ECE|정작/NNG|앱/NNG|에/JKM|는/JX|예고/NNG|편/NNG|이/JKS|없/VA|어서/ECD|이것/NP|이/JKS|동시/NNG|공개/NNG|이/VCP|ㄴ/ETD|것/NNB|이/VCP|ㄴ지/ECS|방영/NNG|후/NNG|풀리/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|여전히/MAG|정보/NNG|가/JKS|명확/XR|하/XSA|지/ECD|가/VV|아/ECS|안/MAG|음/ETN|./SF|다르/VV|ㄴ/ETD|OTT/OL|서비스/NNG|는/JX|적어도/MAG|공개/NNG|예정/NNG|콘텐츠/NNG|이/VCP|면/ECE|예고편/NNG|이/VCP|라도/ECD|오르/VV|는데/ECD|이/VCP|건/ECE|뭐/NP|당일/NNG|에/JKM|도/JX|그/MDT|콘텐츠/NNG|에/JKM|대하/VV|ㄴ/ETD|정보/NNG|가/JKS|앱/NNG|에/JKM|아예/MAG|없/VA|음/ETN|./SF|그리고/MAG|다른/MDT|OTT/OL|서비스/NNG|에/JKM|하/VV|어/ECS|아직/MAG|검색/NNG|엔진/NNG|이/JKS|부족/NNG|하/XSV|ㄴ/ETD|듯/NNB|./SF|예/NNG|를/JKO|듣/VV|어/ECD|강아지/NNG|를/JKO|검색/NNG|하/XSV|ㄴ다/ECS|치/VV|면/ECE|그/MDT|단어/NNG|가/JKS|제목/NNG|에/JKM|듣/VV|어/ECD|가있지/UN|안/MAG|으면/ECD|강아지/NNG|와/JKM|관련/NNG|되/XSV|ㄴ/ETD|콘텐츠/NNG|가/JKS|안/MAG|뜸/NNG|./SF|볼륨/NNG|조절/NNG|이나/JC|화면/NNG|밝기/NNG|도/JX|화면/NNG|에서/JKM|이루어지/VV|지/ECD|안/MAG|는/ETD|것/NNB|으로/JKM|보/VV|아/ECS|선/NNG|아직/MAG|이런/MDT|편의/NNG|성은/NNG|더/MAG|발전/NNG|하/XSV|어야/ECD|하/VV|ㄹ/ETD|듯/NNB|./SF|그리하/VV|여도/ECD|디즈니플러스/NNG|덕분/NNG|에/JKM|매일/NNG|이/JKS|즐겁/VA|어서/ECD|5/NR|점/NNM|주/VV|ㅁ/ETN|./SF"
"1. 넷플릭스 웨이브 디즈니 플러스하고 있는데 젤 볼 게 없음. 2. 자막 개똥같음 3. 저장 속도가 뭔 달팽이보다 느림.","1/NR|./SF|넷플릭스/NNG|웨이브/NNG|디즈니플러스/NNG|하/XSV|고/ECE|있/VXV|는데/ECD|젤/MAG|보/VV|ㄹ/ETD|것/NNB|이/JKS|없/VA|음/ETN|./SF|2/NR|./SF|자막/NNG|개똥/NNG|같/VA|음/ETN|3/NR|./SF|저장/NNG|속도/NNG|가/JKS|뭔/MDT|달팽이/NNG|보다/JKM|느림/NNG|./SF"
"리뷰 계속 지우는 이유가? 자막 상태 개선하고 자막 디자인 어플 디자인 개선하고 영상이나 제대로 넘어가게 개선해달라고요. 기본적인 시스템이 제대로 안되어있는데 리뷰 지우고 별점 올리면 뭐가 나아집니까.","리뷰/NNG|계속/MAG|지우/VV|는/ETD|이유/NNG|가/JKS|?/SF|자막/NNG|상태/NNG|개선/NNG|하/XSV|고/ECE|자막/NNG|디자인/NNG|앱/NNG|디자인/NNG|개선/NNG|하/XSV|고/ECE|영상/NNG|이나/JX|제대로/MAG|넘/VV|게/ECD|개선/NNG|하/XSV|어/ECS|달/VXV|ㄹ라고요/EFQ|./SF|기본적/NNG|이/VCP|ㄴ/ETD|시스템/NNG|이/JKS|제대로/MAG|안/MAG|되/VV|어/ECD|있/VXV|는데/ECD|리/NNG|뷰/NNG|지우/VV|고/ECE|별점/NNG|오르/VV|면/ECE|뭐/NP|가/JKS|나아지/VV|ㅂ니까/EFQ|./SF"
"와 어플진짜 쓰레기네.","오/VV|아/ECS|앱/NNG|진짜/MAG|쓰레기/NNG|이/VCP|네/EFN|./SF"
"너무 재밌어요.","너무/MAG|재미/NNG|있/VV|어요/EFN|./SF"
"아니 돈주고보는데 안켜지는건 뭐지 진짜 개판이네.","아니/IC|돈/NNG|주/VV|고/ECE|보/VV|는데/ECD|안/MAG|키/VV|는/ETD|건/NNG|무엇/NNG|이/VCP|지/ECD|진짜/MAG|개판/NNG|이/VCP|네/EFN|./SF"
